Date,Company/Site,Contact Name,Email,Website,Segment,Target Type,Pitch Angle,Link To,Status,Response Date,Response Notes,Link Acquired,Link URL,Domain Authority,Follow Up 1,Follow Up 2,Notes
,,,,,Bach,Boat Rental,Lake Travis Guide,/blog/ultimate-guide-lake-travis-boat-parties,Not Started,,,No,,,,Target: 15 boat companies
,,,,,Bach,Boat Rental,Lake Travis Guide,/blog/ultimate-guide-lake-travis-boat-parties,Not Started,,,No,,,,,
,,,,,Bach,Boat Rental,Lake Travis Guide,/blog/ultimate-guide-lake-travis-boat-parties,Not Started,,,No,,,,,
,,,,,Bach,Boat Rental,Lake Travis Guide,/blog/ultimate-guide-lake-travis-boat-parties,Not Started,,,No,,,,,
,,,,,Bach,Airbnb Host/Manager,Best Airbnbs Feature,/blog/unique-airbnbs-for-large-bachelorette-groups-in-austin,Not Started,,,No,,,,Target: 15 Airbnb hosts
,,,,,Bach,Airbnb Host/Manager,Best Airbnbs Feature,/blog/best-airbnb-neighborhoods-for-bachelor-parties-in-austin,Not Started,,,No,,,,,
,,,,,Bach,Airbnb Host/Manager,Best Airbnbs Feature,/blog/unique-airbnbs-for-large-bachelorette-groups-in-austin,Not Started,,,No,,,,,
,,,,,Bach,Rainey Street Bar,Bach Party Guide,/blog/ultimate-guide-austin-bachelor-parties,Not Started,,,No,,,,Target: 15 bars
,,,,,Bach,Rainey Street Bar,Bach Party Guide,/blog/ultimate-guide-austin-bachelorette-parties,Not Started,,,No,,,,,
,,,,,Bach,Rainey Street Bar,Bach Party Guide,/blog/ultimate-guide-austin-bachelor-parties,Not Started,,,No,,,,,
,,,,,Bach,Brunch Spot,Bachelorette Brunch Feature,/blog/top-brunch-spots-for-an-austin-bachelorette-crew,Not Started,,,No,,,,Target: 10 brunch spots
,,,,,Bach,Brunch Spot,Bachelorette Brunch Feature,/blog/top-brunch-spots-for-an-austin-bachelorette-crew,Not Started,,,No,,,,,
,,,,,Bach,BBQ Restaurant,Bachelor BBQ Feature,/blog/best-bbq-spots-for-a-bachelor-party-lunch-in-austin,Not Started,,,No,,,,Target: 10 BBQ spots
,,,,,Bach,BBQ Restaurant,Bachelor BBQ Feature,/blog/best-bbq-spots-for-a-bachelor-party-lunch-in-austin,Not Started,,,No,,,,,
,,,,,Bach,Adventure Activity,Activities Guide Feature,/blog/austin-s-best-axe-throwing-and-adventure-activities-for-bachelor-parties,Not Started,,,No,,,,Target: 10 activities
,,,,,Bach,Adventure Activity,Activities Guide Feature,/blog/austin-s-best-axe-throwing-and-adventure-activities-for-bachelor-parties,Not Started,,,No,,,,,
