Date,Company/Site,Contact Name,Email,Website,Segment,Target Type,Pitch Angle,Link To,Status,Response Date,Response Notes,Link Acquired,Link URL,Domain Authority,Follow Up 1,Follow Up 2,Notes
,,,,,Wedding,Photographer,Photo Locations Guide,/blog/engagement-photo-locations-in-austin-s-hill-country,Not Started,,,No,,,,Target: 25 photographers
,,,,,Wedding,Photographer,Photo Locations Guide,/blog/engagement-photo-locations-in-austin-s-hill-country,Not Started,,,No,,,,,
,,,,,Wedding,Photographer,Photo Locations Guide,/blog/engagement-photo-locations-in-austin-s-hill-country,Not Started,,,No,,,,,
,,,,,Wedding,Photographer,Photo Locations Guide,/blog/engagement-photo-locations-in-austin-s-hill-country,Not Started,,,No,,,,,
,,,,,Wedding,Photographer,Photo Locations Guide,/blog/engagement-photo-locations-in-austin-s-hill-country,Not Started,,,No,,,,,
,,,,,Wedding,Wedding Planner,Drink Calculator Tool,/weddings,Not Started,,,No,,,,Target: 15 planners
,,,,,Wedding,Wedding Planner,Drink Calculator Tool,/weddings,Not Started,,,No,,,,,
,,,,,Wedding,Wedding Planner,Drink Calculator Tool,/weddings,Not Started,,,No,,,,,
,,,,,Wedding,Florist,Vendor Roundup Feature,/blog/austin-florists-caterers-texas-weddings,Not Started,,,No,,,,Target: 10 florists
,,,,,Wedding,Florist,Vendor Roundup Feature,/blog/austin-florists-caterers-texas-weddings,Not Started,,,No,,,,,
,,,,,Wedding,Caterer,Catering Inspiration,/blog/food-and-catering-inspiration-for-austin-engagement-parties,Not Started,,,No,,,,Target: 10 caterers
,,,,,Wedding,Caterer,Catering Inspiration,/blog/food-and-catering-inspiration-for-austin-engagement-parties,Not Started,,,No,,,,,
,,,,,Wedding,Venue,Partnership Proposal,/blog/best-engagement-party-venues-in-austin,Not Started,,,No,,,,Target: 20 venues
,,,,,Wedding,Venue,Partnership Proposal,/blog/best-engagement-party-venues-in-austin,Not Started,,,No,,,,,
,,,,,Wedding,Venue,Partnership Proposal,/blog/best-engagement-party-venues-in-austin,Not Started,,,No,,,,,
,,,,,Wedding,Wedding Blog,Guest Post Pitch,/blog/ultimate-guide-austin-weddings,Not Started,,,No,,,,Target: 10 blogs
,,,,,Wedding,Wedding Blog,Guest Post Pitch,/blog/ultimate-guide-austin-weddings,Not Started,,,No,,,,,
